Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LaMelo Ball,PG,19,CHO,51,31,1469,7.2,16.5,3.1,4.0,2.3,6.4,4.9,10.1,1.5,5.9,7.4,7.7,2.0,0.4,3.6,3.3,19.7
Lonzo Ball,PG,23,NOP,55,55,1747,6.0,14.4,1.0,1.3,3.5,9.4,2.4,5.0,0.7,4.7,5.4,6.5,1.7,0.6,2.5,2.1,16.5
Mo Bamba,C,22,ORL,46,5,725,7.1,14.9,2.2,3.3,1.9,5.9,5.2,9.1,3.8,9.4,13.2,1.7,0.7,2.9,1.8,4.3,18.2
Desmond Bane,SG,22,MEM,68,17,1519,5.5,11.8,0.9,1.2,2.8,6.4,2.8,5.4,0.7,4.2,5.0,2.8,1.0,0.4,1.4,3.0,14.8
Harrison Barnes,PF,28,SAC,58,58,2102,5.5,11.0,3.3,4.0,1.7,4.4,3.8,6.6,1.1,5.5,6.6,3.4,0.7,0.2,1.6,1.3,16.0
RJ Barrett,SG,20,NYK,72,72,2511,6.7,15.2,3.0,4.0,1.8,4.4,4.9,10.8,1.0,5.0,5.9,3.1,0.8,0.3,2.0,2.7,18.1
Will Barton,SF,30,DEN,56,52,1736,5.4,12.6,2.0,2.5,2.0,5.3,3.3,7.3,0.8,3.9,4.7,3.8,1.0,0.5,2.0,2.0,14.7
Keita Bates-Diop,SF,25,SAS,30,0,245,4.4,9.8,2.1,3.1,0.7,2.5,3.7,7.3,1.3,5.9,7.2,1.8,1.6,0.7,1.0,1.6,11.6
Nicolas Batum,SF,32,LAC,67,38,1835,3.7,8.1,0.9,1.1,2.2,5.3,1.6,2.7,1.0,5.2,6.2,2.9,1.4,0.7,1.0,2.0,10.6
Aron Baynes,C,34,TOR,53,31,980,4.9,11.2,1.1,1.5,1.0,3.8,3.9,7.4,3.2,6.8,10.0,1.7,0.6,0.8,1.7,4.4,11.9
Kent Bazemore,SF,31,GSW,67,18,1333,4.8,10.6,1.5,2.1,2.0,5.0,2.7,5.6,0.7,5.5,6.2,2.9,1.9,0.9,2.2,4.3,13.0
Darius Bazley,PF,20,OKC,55,55,1714,5.7,14.5,2.6,3.7,1.7,6.0,4.0,8.5,1.1,7.2,8.3,2.1,0.6,0.5,2.6,1.3,15.8
Bradley Beal,SG,27,WAS,60,60,2147,11.2,23.2,6.8,7.7,2.2,6.3,9.1,16.9,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5
Malik Beasley,SG,24,MIN,37,36,1214,7.8,17.8,2.0,2.4,3.8,9.5,4.0,8.3,0.8,4.0,4.8,2.6,0.9,0.2,1.8,1.8,21.5
Jordan Bell,C,26,TOT,6,1,82,3.1,9.7,0.4,0.9,0.0,0.9,3.1,8.8,3.1,7.5,10.5,3.1,1.3,2.2,1.8,3.1,6.6
Jordan Bell,C,26,WAS,5,1,67,3.8,10.7,0.0,0.0,0.0,1.1,3.8,9.7,3.2,7.0,10.2,2.7,1.6,1.6,1.6,2.7,7.5
Jordan Bell,C,26,GSW,1,0,15,0.0,4.8,2.4,4.8,0.0,0.0,0.0,4.8,2.4,9.6,12.0,4.8,0.0,4.8,2.4,4.8,2.4
,,,,,,,,,,,,,,,,,,,,,,,
DeAndre' Bembry,SF,26,TOR,51,12,972,4.3,8.4,1.7,2.4,0.5,2.0,3.8,6.5,1.2,4.2,5.4,4.0,2.0,0.7,2.6,3.2,10.9
Dāvis Bertāns,PF,28,WAS,57,7,1464,4.7,11.8,2.5,2.8,4.2,10.5,0.6,1.2,0.4,3.7,4.1,1.2,0.8,0.3,0.8,3.3,16.1
Patrick Beverley,PG,32,LAC,37,34,832,4.0,9.5,1.6,1.9,2.4,6.1,1.6,3.4,1.3,3.9,5.1,3.3,1.3,1.2,1.5,4.7,12.0
Saddiq Bey,SF,21,DET,70,53,1909,5.3,13.0,2.3,2.8,3.3,8.7,2.0,4.4,0.8,5.2,6.0,1.8,1.0,0.3,1.1,2.1,16.2
Tyler Bey,SF,22,DAL,18,0,71,3.5,11.2,1.5,2.5,0.5,2.0,3.0,9.1,4.1,5.6,9.6,1.5,0.0,0.5,1.5,3.0,9.1
Khem Birch,C,28,TOT,67,22,1529,4.4,8.9,2.1,3.0,0.3,1.2,4.1,7.7,4.1,5.0,9.1,2.1,1.1,1.2,1.0,2.7,11.3
Khem Birch,C,28,ORL,48,5,952,3.6,7.9,2.4,3.2,0.2,0.8,3.4,7.1,4.4,4.8,9.2,2.0,1.2,1.1,0.9,2.5,9.6
Khem Birch,C,28,TOR,19,17,577,5.9,10.7,1.7,2.7,0.6,1.9,5.4,8.7,3.6,5.4,9.0,2.2,1.0,1.4,1.3,2.9,14.2
Goga Bitadze,C,21,IND,45,3,561,5.3,12.4,2.9,3.9,1.3,5.1,4.0,7.4,3.9,5.8,9.6,2.4,0.6,3.9,1.1,6.0,14.8
Bismack Biyombo,C,28,CHO,66,36,1349,3.8,6.5,1.3,2.8,0.0,0.0,3.8,6.4,3.7,5.6,9.3,2.2,0.5,2.0,1.9,3.8,8.8
Nemanja Bjelica,PF,32,TOT,37,3,595,5.4,11.9,2.2,3.1,1.6,5.1,3.8,6.7,1.8,5.9,7.7,4.2,0.9,0.3,2.0,4.1,14.6
Nemanja Bjelica,PF,32,SAC,26,1,439,5.7,12.3,2.6,3.4,1.4,4.8,4.3,7.5,2.0,6.2,8.2,4.0,0.7,0.2,2.3,3.9,15.3
Nemanja Bjelica,PF,32,MIA,11,2,156,4.6,10.6,1.2,2.1,2.3,6.2,2.3,4.4,1.2,5.1,6.2,4.6,1.6,0.7,1.2,4.6,12.7
Eric Bledsoe,SG,31,NOP,71,70,2111,5.2,12.4,2.3,3.3,2.1,6.1,3.2,6.4,0.5,3.7,4.2,4.6,0.9,0.4,1.9,1.9,14.8
Keljin Blevins,SF,25,POR,17,0,75,2.4,9.6,0.0,0.0,1.0,3.8,1.4,5.8,1.4,3.4,4.8,1.9,1.0,0.0,2.4,3.8,5.8
Bogdan Bogdanović,SG,28,ATL,44,27,1305,7.4,15.6,1.1,1.2,4.0,9.2,3.3,6.4,0.6,3.9,4.4,4.1,1.4,0.4,1.5,2.7,19.9
Bojan Bogdanović,SF,31,UTA,72,72,2216,6.6,15.0,3.8,4.3,2.9,7.5,3.7,7.5,0.6,3.9,4.6,2.2,0.7,0.1,2.1,1.9,19.9
Bol Bol,PF,21,DEN,32,2,160,5.6,13.1,2.3,3.4,2.0,5.4,3.6,7.7,0.0,5.4,5.4,1.6,0.7,2.3,2.9,3.2,15.5
Marques Bolden,C,22,CLE,6,0,29,1.2,3.7,6.2,9.9,0.0,0.0,1.2,3.7,3.7,3.7,7.4,0.0,2.5,2.5,2.5,0.0,8.7
Jordan Bone,PG,23,ORL,14,0,196,4.2,9.9,0.0,0.0,1.8,5.9,2.4,4.0,0.7,3.7,4.4,3.3,0.4,0.0,0.6,2.0,10.3
Isaac Bonga,SF,21,WAS,40,8,432,2.5,6.8,0.4,0.7,1.1,3.9,1.4,2.8,1.5,4.0,5.5,1.9,0.9,0.7,1.8,5.2,6.5
Devin Booker,SG,24,PHO,67,67,2270,9.9,20.4,5.4,6.2,2.0,5.9,7.9,14.5,0.5,3.9,4.5,4.6,0.8,0.3,3.3,2.9,27.2
Chris Boucher,C,28,TOR,60,14,1453,7.1,13.9,3.8,4.8,2.2,5.8,4.9,8.1,2.9,7.1,10.0,1.6,0.9,2.8,1.1,4.1,20.3
Brian Bowen,SF,22,IND,6,0,15,2.4,9.6,2.4,2.4,0.0,2.4,2.4,7.2,0.0,7.2,7.2,0.0,0.0,0.0,0.0,2.4,7.2
,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,SG,30,TOT,27,6,602,3.8,10.2,0.7,0.9,2.0,6.0,1.9,4.2,0.5,2.9,3.4,2.8,1.3,0.2,1.7,3.3,10.3
Avery Bradley,SG,30,MIA,10,1,211,5.3,11.3,1.2,1.5,2.7,6.5,2.6,4.8,0.3,2.7,3.1,2.4,1.2,0.2,1.5,4.4,14.5
Avery Bradley,SG,30,HOU,17,5,391,3.0,9.7,0.5,0.6,1.6,5.8,1.5,3.9,0.6,3.0,3.6,2.9,1.3,0.2,1.7,2.7,8.1
Tony Bradley,C,23,TOT,42,8,684,6.9,10.4,2.0,2.9,0.0,0.2,6.9,10.2,4.5,8.1,12.6,1.9,0.8,1.6,1.7,3.2,15.8
Tony Bradley,C,23,PHI,20,8,287,6.4,9.4,0.9,1.4,0.0,0.1,6.4,9.3,4.9,8.2,13.0,2.1,0.8,1.6,0.8,3.5,13.7
Tony Bradley,C,23,OKC,22,0,397,7.3,11.1,2.8,4.0,0.0,0.2,7.3,10.9,4.2,8.1,12.2,1.8,0.8,1.5,2.4,3.0,17.3
Jarrell Brantley,PF,24,UTA,28,0,138,6.5,13.6,0.5,0.5,3.1,7.3,3.4,6.3,2.3,4.7,7.0,3.9,1.8,0.5,2.1,4.4,16.7
