id,full_name,Year_Drafted,Overall_Pick,Round,Drafted_by
1629034,Ray Spalding,2018.0,56.0,2.0,Philadelphia 76ers
1629016,Omari Spellman,2018.0,30.0,1.0,Atlanta Hawks
1628410,Edmond Sumner,2017.0,52.0,2.0,New Orleans Pelicans
1628403,Caleb Swanigan,2017.0,26.0,1.0,Portland Trail Blazers
1628369,Jayson Tatum,2017.0,3.0,1.0,Boston Celtics
201952,Jeff Teague,2009.0,19.0,1.0,Atlanta Hawks
202738,Isaiah Thomas,2011.0,60.0,2.0,Sacramento Kings
1629017,Khyri Thomas,2018.0,38.0,2.0,Philadelphia 76ers
202691,Klay Thompson,2011.0,11.0,1.0,Golden State Warriors
202684,Tristan Thompson,2011.0,4.0,1.0,Cleveland Cavaliers
1629680,Matisse Thybulle,2019.0,20.0,1.0,Boston Celtics
1626157,Karl-Anthony Towns,2015.0,1.0,1.0,Minnesota Timberwolves
1629018,Gary Trent Jr.,2018.0,37.0,2.0,Sacramento Kings
200782,P.J. Tucker,2006.0,35.0,2.0,Toronto Raptors
202323,Evan Turner,2010.0,2.0,1.0,Philadelphia 76ers
1626167,Myles Turner,2015.0,11.0,1.0,Indiana Pacers
202685,Jonas Valanciunas,2011.0,5.0,1.0,Toronto Raptors
1627756,Denzel Valentine,2016.0,14.0,1.0,Chicago Bulls
1629020,Jarred Vanderbilt,2018.0,41.0,2.0,Orlando Magic
203943,Noah Vonleh,2014.0,9.0,1.0,Charlotte Hornets
202696,Nikola Vucevic,2011.0,16.0,1.0,Philadelphia 76ers
1629021,Moritz Wagner,2018.0,25.0,1.0,Los Angeles Lakers
203079,Dion Waiters,2012.0,4.0,1.0,Cleveland Cavaliers
202689,Kemba Walker,2011.0,9.0,1.0,Charlotte Bobcats
1629022,Lonnie Walker IV,2018.0,18.0,1.0,San Antonio Spurs
202322,John Wall,2010.0,1.0,1.0,Washington Wizards
1627820,Tyrone Wallace,2016.0,60.0,2.0,Utah Jazz
203933,T.J. Warren,2014.0,14.0,1.0,Phoenix Suns
1629023,P.J. Washington,2019.0,12.0,1.0,Charlotte Hornets
1629682,Tremont Waters,2019.0,51.0,2.0,Boston Celtics
1629683,Quinndary Weatherspoon,2019.0,49.0,2.0,San Antonio Spurs
201566,Russell Westbrook,2008.0,4.0,1.0,Oklahoma City Thunder
1629632,Coby White,2019.0,7.0,1.0,Chicago Bulls
1628401,Derrick White,2017.0,29.0,1.0,San Antonio Spurs
202355,Hassan Whiteside,2010.0,33.0,2.0,Sacramento Kings
203952,Andrew Wiggins,2014.0,1.0,1.0,Cleveland Cavaliers
1629684,Grant Williams,2019.0,22.0,1.0,Boston Celtics
101150,Lou Williams,2005.0,45.0,2.0,Philadelphia 76ers
101107,Marvin Williams,2005.0,2.0,1.0,Atlanta Hawks
1629057,Robert Williams III,2018.0,27.0,1.0,Boston Celtics
1628430,Nigel Williams-Goss,2017.0,55.0,2.0,Utah Jazz
1629627,Zion Williamson,2019.0,1.0,1.0,New Orleans Pelicans
1628391,D.J. Wilson,2017.0,17.0,1.0,Milwaukee Bucks
1629685,Dylan Windler,2019.0,26.0,1.0,Cleveland Cavaliers
1626159,Justise Winslow,2015.0,10.0,1.0,Miami Heat
1626153,Delon Wright,2015.0,20.0,1.0,Toronto Raptors
1629625,Justin Wright-Foreman,2019.0,53.0,2.0,Utah Jazz
201152,Thaddeus Young,2007.0,12.0,1.0,Philadelphia 76ers
1629027,Trae Young,2018.0,5.0,1.0,Dallas Mavericks
203469,Cody Zeller,2013.0,4.0,1.0,Charlotte Bobcats
1627790,Ante Zizic,2016.0,23.0,1.0,Boston Celtics
1627826,Ivica Zubac,2016.0,32.0,2.0,Los Angeles Lakers
